Producto,P_Original,P_Oferta,P_dolares
Xiaomi Mi 9t 128+6 Ram Triple Cámara: 48+8+13 Mpx,0.0,6689.0,334.45
Celular Samsung S8 64gb 4gb Ram Demo,5999.0,5099.0,254.95
Celular Apple iPhone 7 32gb Demo 4g Lte,5299.0,4299.0,214.95
Celular Lanix L620 Ilium Android 7.0 Remate Cel Envio Gratis,0.0,1480.0,74.0
Celular Motorola Moto G8 Play 2gb 32gb Triple Camara,5999.0,3849.0,192.45
Lg Q60 64 Gb 3 Gb Ram Triple Camara 16+5+2 Mpx Nuevo Sellado,0.0,4550.0,227.5
Samsung Galaxy Note 8 64gb Liberado Punto Pantalla Full,7699.0,6544.0,327.2
Huawei P30 Pro | 256 Gb | 8 Ram | Sellados,0.0,14999.0,749.95
Huawei Nova 5t 128 Gb 8gb Ram 5 Camaras 48+16+2+2 Mpx Nuevo,0.0,8399.0,419.95
Huawei P30 Lite 128gb Nuevo Negro,0.0,5499.0,274.95
Celular One Plus 6t A6013 128gb 8gb Ram Liberado 4g Demo,0.0,7999.0,399.95
Android 8.1 Camara 13+5mp 2 Ram Dual Celulares Baratos Max22,0.0,1749.0,87.45
Celular Motorola Motokey Wifi,0.0,360.0,18.0
Apple iPhone 7 128gb Desbloqueado Original,0.0,4949.0,247.45
Huawei P30 Lite Morado 128gb,0.0,5989.0,299.45
Blu Vivo X5 -desbloqueado Patalla De 5.7 Hd -64gb+3gb Ram,0.0,2499.0,124.95
Celular Samsung Galaxy S10 128gb Azul Exhibicion,0.0,11999.0,599.95
Xiaomi Mi A2 Lite 64+4gb Global 12+5+5mp Dual Sim 4g,0.0,3649.0,182.45
Celular Samsung Galaxy A6 32gb 3gb Ram Liberado 4g Demo,0.0,2699.0,134.95
